Scenario,Verdict,GPT_Explanation
"The massive amount of people who think it's a woman's duty to have children, even if she doesn't want them...",Sexist,"Yes, this scenario is sexist. It places an unfair expectation on women based solely on their gender, disregarding their personal autonomy and choices. By assuming it is a woman's duty to have children, society reinforces restrictive gender roles and limits women's freedom to decide their own paths. This perpetuates inequality and undermines respect for individual rights."
When I’m the only woman with a group of men and one of them swears and apologises only to me.,depends,"Yes, this scenario can be considered subtly sexist. By singling out the woman for an apology, it implies that women are more delicate or less able to handle strong language than men. This reinforces outdated gender stereotypes and treats the woman differently solely because of her gender, rather than as an equal member of the group."
"The statement ""women should dress modestly because men can't help but think dirty thoughts""",sexist,"Yes, this scenario is sexist. The statement places the responsibility for men's thoughts and actions on women, implying that women must modify their behavior or appearance to accommodate male impulses. It perpetuates harmful stereotypes by suggesting men lack self-control and women are responsible for male behavior. This undermines women's autonomy and reinforces unequal gender expectations."
"Using ""guys"" to address or describe a group that includes men and women",not sexist,"**Conclusion/TLDR:**  
Using ""guys"" to address a mixed-gender group can be considered subtly sexist because it defaults to a masculine term as the standard for everyone, which can reinforce male-centric language norms and make some people feel excluded or overlooked. While many people use ""guys"" in a gender-neutral way and may not intend any harm, its origin and primary meaning are male-specific. It's generally more inclusive to use truly neutral terms like ""everyone"" or ""folks"" when addressing mixed groups."
"Last week, I dyed my hair from my natural brunette to a subtle purple. I posted it on one of my social medias and I quickly got a comment from another girl, saying what I'd done was stupid and silly. I asked why. She responded that I had only dyed my hair for a guy. I said ""why the hell would I do that?"" and she commented back ""every girl does.""",depends,"Yes, this scenario is sexist. The comment assumes that all women make personal appearance choices solely to attract male attention, which reduces women's autonomy and individuality. Such a generalization enforces limiting stereotypes about women's motivations and ignores their agency. By insisting ""every girl does"" things for men, the commenter perpetuates a sexist belief that invalidates women's personal choices."
"For example, my brother and I were watching a stand-up comedy, and the comedian was joking [about] how when women hit 40, they aren't on the market anymore, but for men [it] is of course not the same",sexist,"Yes, this scenario is sexist. The joke relies on the stereotype that women lose value as they age, while men do not, reinforcing harmful double standards about gender and attractiveness. By normalizing the idea that women's worth is tied to their youth and appearance, whereas men are exempt from similar judgments, it perpetuates sexism. Such humor contributes to societal attitudes that devalue women based on age, which is discriminatory."
"My partner and I took his daughter shopping for new shoes, we took a number and waited for our turn. When the assistant came over I was standing and my partner and his daughter were sat on the seats waiting to be served, the assistant turned to me and asked how she could help, completely ignoring my partner.",not sexist,"This scenario may reflect a subtle form of sexism based on gendered assumptions about caretaking roles. The assistant's immediate turn to you, instead of your partner (the daughter's father), likely stems from the stereotype that women—rather than men—are usually responsible for children's shopping and caregiving needs. While not overtly hostile, this is an example of how everyday interactions can reinforce traditional gender roles, making the scenario mildly sexist."
"I work in a large marketing department and recently whilst speaking about the voice we use on our adverts, we discussed the prospect of using a female voice over. My male senior, department deputy really, said to me that we don't use females because ""all female voices sound sexual"".",sexist,"Yes, this scenario is sexist. The remark made by the male senior stereotypes all female voices as inherently sexual, which is both reductive and discriminatory. This kind of blanket generalization about women is based on gender bias and leads to unfair exclusion of female voices from professional opportunities. The statement perpetuates harmful stereotypes and contributes to a workplace culture that undervalues women based on prejudice rather than merit."
"I return to work from maternity leave (working 30 hours a week), to be told by my boss, ""hey you can't do special projects because you only work part time"", "" you have to be there 7 til 7"" and ""no-one is going to take you seriously now because you work part time"" and ""don't apply for a promotion cause you have more important things to worry about at home""",sexist,"Yes, this scenario is sexist. The boss’s comments directly tie the employee’s career opportunities and perceived competence to her status as a new mother and part-time worker, assuming her priorities and limiting her advancement based on gendered stereotypes. These statements undermine her professional value and reinforce discriminatory attitudes about women’s roles in the workplace. Such behavior constitutes both gender and parental status discrimination."
men insisting that men have better friendships and women's friendships are always tumultuous or strained because they're innately two-faced and petty.,sexist,"Yes, this scenario is sexist. It relies on negative stereotypes about women, portraying them as inherently petty and untrustworthy, while elevating men as having superior, more genuine friendships. These broad generalizations unfairly judge an entire gender and ignore the complexity and diversity of human relationships. Such statements perpetuate gender bias and reinforce harmful societal norms."
