Paper link,context,what does the AI produce?,how is the AI prompted for the explanation?,do humans view the AI input,how are humans instructed to use AI input
https://doi.org/10.48550/arXiv.2209.11812,Predicting occupations from bios (gender stereotypes),Occupation predictions with feature-based explanations,Explanations highlight sensitive attributes,Yes,Assess fairness and reliance based on provided explanations
https://doi.org/10.48550/arXiv.2403.00179,Counterspeech for online hate,Generated counterspeech messages,No explicit explanation prompt; AI generates content,Yes,Evaluate the authenticity and effectiveness of the generated counterspeech
https://doi.org/10.48550/arXiv.2403.13004,Automated forensic predictions in court,Forensic evidence-based predictions,No detailed explanation prompting,Yes,Scrutinize outputs for fairness and accuracy in legal defenses
https://doi.org/10.48550/arXiv.2310.08617,Simulated decision task for fairness (demographic parity),Binary decisions with bias explanations,Explanations based on protected and proxy features,Yes,Use explanations to detect biases and make fairer decisions
https://doi.org/10.48550/arXiv.2403.09552,Income prediction tasks (biased),Income predictions with confidence scores,Explicit confidence levels provided,Yes,Calibrate self-confidence and rational reliance
https://aclanthology.org/2024.emnlp-main.11,Hate speech annotation using gaze tracking,Hatefulness labels with rationales,AI provides rationales based on gaze data,Yes,Reflect on subjective evaluations of hate speech
https://doi.org/10.48550/arXiv.2404.05228,"Personal assessment (e.g., hiring)",Fairness-aware decision recommendations,Decision criteria explained explicitly,Yes,"Reflect on fairness, reassess biases, and make adjustments"
https://doi.org/10.48550/arXiv.2309.12368,Sepsis diagnosis,Risk predictions and uncertainty estimates,"AI explicitly presents risk factors, uncertainties, and suggested tests",Yes,Support clinical decision-making through iterative hypothesis testing
https://aclanthology.org/2024.acl-short.38,Social media hate speech moderation,Hate labels with structured explanations,AI highlights offending text segments,Yes,Quickly evaluate and moderate flagged content
https://doi.org/10.48550/arXiv.2503.01623,Commercial content moderation audit,Moderation labels (flagged/allowed),Direct moderation labels; no detailed prompting,Yes,Assess moderation effectiveness and biases
https://saumyapareek.com/papers/cscw2024a.pdf,Fact-checking/Misinformation,Credibility judgments (true/false),"Conceptual validations (consensus, expert, logical, empirical)",Yes,Assess trust and credibility using explanations provided
https://aclanthology.org/2024.acl-long.509,Content moderation fairness,Relative severity judgments,Classifier trained on diverse human labels,Yes,Evaluate fairness and personal biases
https://facctconference.org/static/papers24/facct24-79.pdf,General AI assistants (trust and alignment),Conceptual trust model,Philosophical analysis; no explicit explanation prompting,"Conceptual (yes, theoretically)",Evaluate trustworthiness through competence and alignment
https://aclanthology.org/2025.naacl-short.22,AI safety moderation classifiers,Safety labels (safe/unsafe),Moderation labels without detailed explanation,Yes,Audit fairness and robustness of moderation labels
https://doi.org/10.1145/3613904.3642018,Various decision-making contexts (trust factors),Investigative; no specific AI outputs,Qualitative interviews exploring trust conditions,Yes (conceptually),Reflect on and articulate trust conditions
